DRA,BioSample,Sample_ID
DRR302597,SAMD00326290,A0177
DRR302598,SAMD00326291,A0178
DRR302599,SAMD00326292,A0179
DRR302600,SAMD00326293,A0180
DRR302601,SAMD00326294,A0181
DRR302602,SAMD00326295,A0182
DRR302603,SAMD00326296,A0183
DRR302604,SAMD00326297,A0184
DRR302605,SAMD00326298,A0185
DRR302606,SAMD00326299,A0186
DRR302607,SAMD00326300,A0187
DRR302608,SAMD00326301,A0188
DRR302609,SAMD00326302,A0189
DRR302610,SAMD00326303,A0190
DRR302611,SAMD00326304,A0191
DRR302612,SAMD00326305,A0192
DRR302613,SAMD00326306,A0193
DRR302614,SAMD00326307,A0194
DRR302615,SAMD00326308,A0195
DRR302616,SAMD00326309,A0196
DRR302617,SAMD00326310,A0197
DRR302618,SAMD00326311,A0198
DRR302619,SAMD00326312,A0199
DRR302620,SAMD00326313,A0200
DRR302621,SAMD00326314,A0201
DRR302622,SAMD00326315,A0202
DRR302623,SAMD00326316,A0203
DRR302624,SAMD00326317,A0204
DRR302625,SAMD00326318,A0205
DRR302626,SAMD00326319,A0206
DRR302627,SAMD00326320,A0207
DRR302628,SAMD00326321,A0208
DRR302629,SAMD00326322,A0209
DRR302630,SAMD00326323,A0210
DRR302631,SAMD00326324,A0211
DRR302632,SAMD00326325,A0212
DRR302633,SAMD00326326,A0213
DRR302634,SAMD00326327,A0214
DRR302635,SAMD00326328,A0215
DRR302636,SAMD00326329,A0216
DRR302637,SAMD00326330,A0217
DRR302638,SAMD00326331,A0218
DRR302639,SAMD00326332,A0219
DRR302640,SAMD00326333,A0220
DRR302641,SAMD00326334,A0221
DRR302642,SAMD00326335,A0222
DRR302643,SAMD00326336,A0223
DRR302644,SAMD00326337,A0224
DRR302645,SAMD00326338,A0225
DRR302646,SAMD00326339,A0226
DRR302647,SAMD00326340,A0227
DRR302648,SAMD00326341,A0228
DRR302649,SAMD00326342,A0229
DRR302650,SAMD00326343,A0230
DRR302651,SAMD00326344,A0231
DRR302652,SAMD00326345,A0232
DRR302653,SAMD00326346,A0233
DRR302654,SAMD00326347,A0234
DRR302655,SAMD00326348,A0235
DRR302656,SAMD00326349,A0236
DRR302657,SAMD00326350,A0237
DRR302658,SAMD00326351,A0238
DRR302659,SAMD00326352,A0239
DRR302660,SAMD00326353,A0240
DRR302661,SAMD00326354,A0241
DRR302662,SAMD00326355,A0242
DRR302663,SAMD00326356,A0243
DRR302664,SAMD00326357,A0244
DRR302665,SAMD00326358,A0245
DRR302666,SAMD00326359,A0246
DRR302667,SAMD00326360,A0247
DRR302668,SAMD00326361,A0248
DRR302669,SAMD00326362,A0249
DRR302670,SAMD00326363,A0250
DRR302671,SAMD00326364,A0251
DRR302672,SAMD00326365,A0252
DRR302673,SAMD00326366,A0253
DRR302674,SAMD00326367,A0254
DRR302675,SAMD00326368,A0255
DRR302676,SAMD00326369,A0256
DRR302677,SAMD00326370,A0257
DRR302678,SAMD00326371,A0258
DRR302679,SAMD00326372,A0259
DRR302680,SAMD00326373,A0260
DRR302681,SAMD00326374,A0261
DRR302682,SAMD00326375,A0262
DRR302683,SAMD00326376,A0263
DRR302684,SAMD00326377,A0264
DRR302685,SAMD00326378,A0265
DRR302686,SAMD00326379,A0266
DRR302687,SAMD00326380,A0267
DRR302688,SAMD00326381,A0268
DRR302689,SAMD00326382,A0269
DRR302690,SAMD00326383,A0270
DRR302691,SAMD00326384,A0271
DRR302692,SAMD00326385,A0272
DRR302693,SAMD00326386,A0273
DRR302694,SAMD00326387,A0274
DRR302695,SAMD00326388,A0275
DRR302696,SAMD00326389,A0276
DRR302697,SAMD00326390,A0277
DRR302698,SAMD00326391,A0278
DRR302699,SAMD00326392,A0279
DRR302700,SAMD00326393,A0280
DRR302701,SAMD00326394,A0281
DRR302702,SAMD00326395,A0282
DRR302703,SAMD00326396,A0283
DRR302704,SAMD00326397,A0284
DRR302705,SAMD00326398,A0285
DRR302706,SAMD00326399,A0286
DRR302707,SAMD00326400,A0287
DRR302708,SAMD00326401,A0288
DRR302709,SAMD00326402,A0289
DRR302710,SAMD00326403,A0290
DRR302711,SAMD00326404,A0291
DRR302712,SAMD00326405,A0292
DRR302713,SAMD00326406,A0293
DRR302714,SAMD00326407,A0294
DRR302715,SAMD00326408,A0295
DRR302716,SAMD00326409,A0296
DRR302717,SAMD00326410,A0297
DRR302718,SAMD00326411,A0298
DRR302719,SAMD00326412,A0299
DRR302720,SAMD00326413,A0300
DRR302721,SAMD00326414,A0301
DRR302722,SAMD00326415,A0302
DRR302723,SAMD00326416,A0303
DRR302724,SAMD00326417,A0304
DRR302725,SAMD00326418,A0305
DRR302726,SAMD00326419,A0306
DRR302727,SAMD00326420,A0307
DRR302728,SAMD00326421,A0308
DRR302729,SAMD00326422,A0309
DRR302730,SAMD00326423,A0310
DRR302731,SAMD00326424,A0311
DRR302732,SAMD00326425,A0312
DRR302733,SAMD00326426,A0313
DRR302734,SAMD00326427,A0314
DRR302735,SAMD00326428,A0315
DRR302736,SAMD00326429,A0316
DRR302737,SAMD00326430,A0317
DRR302738,SAMD00326431,A0318
DRR302739,SAMD00326432,A0319
DRR302740,SAMD00326433,A0320
DRR302741,SAMD00326434,A0321
DRR302742,SAMD00326435,A0322
DRR302743,SAMD00326436,A0323
DRR302744,SAMD00326437,A0324
DRR302745,SAMD00326438,A0325
DRR302746,SAMD00326439,A0326
DRR302747,SAMD00326440,A0327
DRR302748,SAMD00326441,A0328
DRR302749,SAMD00326442,A0329
DRR302750,SAMD00326443,A0330
DRR302751,SAMD00326444,A0331
DRR302752,SAMD00326445,A0332
DRR302753,SAMD00326446,A0333
DRR302754,SAMD00326447,A0334
DRR302755,SAMD00326448,A0335
DRR302756,SAMD00326449,A0336
DRR302757,SAMD00326450,A0337
DRR302758,SAMD00326451,A0338
