ID	YearClass	DayNumber	Current	YearClassStock	FL	Weight	Prefecture
A0250	2019	134 	Tsushima	2019T	36.38	0.66	Shimane
A0251	2019	134 	Tsushima	2019T	49.63	1.42	Shimane
A0252	2019	134 	Tsushima	2019T	39.93	0.83	Shimane
A0253	2019	134 	Tsushima	2019T	40.51	0.91	Shimane
A0254	2019	134 	Tsushima	2019T	40.67	0.92	Shimane
A0255	2019	134 	Tsushima	2019T	45.81	1.38	Shimane
A0256	2019	134 	Tsushima	2019T	43.40	1.01	Shimane
A0257	2019	134 	Tsushima	2019T	36.95	0.79	Shimane
A0258	2019	136 	Tsushima	2019T	34.79	0.51	Shimane
A0259	2019	136 	Tsushima	2019T	43.52	0.95	Shimane
A0260	2019	136 	Tsushima	2019T	48.35	1.11	Shimane
A0261	2019	136 	Tsushima	2019T	20.56	0.12	Shimane
A0262	2019	136 	Tsushima	2019T	36.93	0.61	Shimane
A0263	2019	136 	Tsushima	2019T	48.07	1.56	Shimane
A0264	2019	136 	Tsushima	2019T	45.64	1.11	Shimane
A0265	2019	136 	Tsushima	2019T	42.88	0.96	Shimane
A0267	2019	136 	Tsushima	2019T	44.71	1.08	Shimane
A0268	2019	136 	Tsushima	2019T	46.10	1.30	Shimane
A0269	2019	136 	Tsushima	2019T	48.78	1.27	Shimane
A0270	2019	136 	Tsushima	2019T	50.42	1.46	Shimane
A0271	2019	136 	Tsushima	2019T	39.08	0.71	Shimane
A0272	2019	136 	Tsushima	2019T	42.39	0.83	Shimane
A0273	2019	136 	Tsushima	2019T	41.89	0.87	Shimane
A0274	2019	136 	Tsushima	2019T	44.04	1.12	Shimane
A0275	2019	136 	Tsushima	2019T	40.40	0.83	Shimane
A0276	2019	136 	Tsushima	2019T	45.84	1.04	Shimane
A0277	2019	136 	Tsushima	2019T	47.32	1.23	Shimane
A0278	2019	134 	Tsushima	2019T	33.65	0.44	Shimane
A0279	2019	134 	Tsushima	2019T	38.76	0.70	Shimane
A0280	2019	134 	Tsushima	2019T	43.48	1.02	Shimane
A0281	2019	134 	Tsushima	2019T	38.99	0.47	Shimane
A0282	2019	134 	Tsushima	2019T	47.89	1.35	Shimane
A0283	2019	134 	Tsushima	2019T	39.77	0.67	Shimane
A0284	2019	134 	Tsushima	2019T	26.85	0.25	Shimane
A0285	2019	134 	Tsushima	2019T	37.61	0.73	Shimane
A0286	2019	134 	Tsushima	2019T	26.67	0.24	Shimane
A0287	2019	134 	Tsushima	2019T	24.51	0.19	Shimane
A0289	2019	134 	Tsushima	2019T	35.45	0.58	Shimane
A0290	2019	134 	Tsushima	2019T	22.54	0.15	Shimane
A0291	2019	134 	Tsushima	2019T	37.68	0.73	Shimane
A0292	2019	134 	Tsushima	2019T	23.22	0.16	Shimane
A0293	2019	134 	Tsushima	2019T	25.45	0.21	Shimane
A0294	2019	134 	Tsushima	2019T	27.86	0.27	Shimane
A0295	2019	134 	Tsushima	2019T	42.67	0.91	Shimane
A0296	2019	134 	Tsushima	2019T	37.88	0.63	Shimane
A0297	2019	136 	Tsushima	2019T	24.63	0.18	Shimane
A0298	2019	136 	Tsushima	2019T	27.53	0.29	Shimane
A0299	2019	136 	Tsushima	2019T	22.33	0.14	Shimane
A0300	2019	136 	Tsushima	2019T	23.62	0.15	Shimane
A0301	2019	136 	Tsushima	2019T	22.75	0.18	Shimane
A0302	2019	136 	Tsushima	2019T	19.60	0.10	Shimane
A0303	2019	136 	Tsushima	2019T	27.36	0.28	Shimane
A0304	2019	136 	Tsushima	2019T	23.89	0.20	Shimane
A0305	2019	136 	Tsushima	2019T	25.57	0.27	Shimane
A0306	2019	136 	Tsushima	2019T	28.40	0.23	Shimane
A0307	2019	136 	Tsushima	2019T	25.35	0.19	Shimane
A0308	2019	136 	Tsushima	2019T	25.32	0.18	Shimane
A0309	2019	136 	Tsushima	2019T	29.38	0.31	Shimane
A0310	2019	136 	Tsushima	2019T	27.30	0.28	Shimane
A0311	2019	136 	Tsushima	2019T	31.90	0.40	Shimane
A0312	2019	136 	Tsushima	2019T	31.06	0.41	Shimane
A0313	2019	136 	Tsushima	2019T	25.70	0.23	Shimane
A0314	2019	136 	Tsushima	2019T	34.53	0.49	Shimane
A0315	2019	136 	Tsushima	2019T	30.39	0.36	Shimane
A0316	2019	136 	Tsushima	2019T	29.06	0.30	Shimane
A0317	2019	136 	Tsushima	2019T	30.50	0.33	Shimane
A0318	2019	136 	Tsushima	2019T	30.19	0.35	Shimane
A0319	2019	136 	Tsushima	2019T	23.32	0.16	Shimane
A0320	2019	136 	Tsushima	2019T	30.89	0.38	Shimane
A0321	2019	136 	Tsushima	2019T	31.95	0.48	Shimane
A0322	2019	136 	Tsushima	2019T	35.50	0.52	Shimane
A0323	2019	136 	Tsushima	2019T	35.10	0.53	Shimane
A0324	2019	136 	Tsushima	2019T	33.35	0.44	Shimane
A0325	2019	136 	Tsushima	2019T	34.97	0.57	Shimane
A0326	2019	136 	Tsushima	2019T	33.71	0.47	Shimane
A0327	2019	136 	Tsushima	2019T	48.72	1.52	Shimane
A0328	2019	136 	Tsushima	2019T	39.67	0.93	Shimane
A0329	2019	136 	Tsushima	2019T	55.96	2.21	Shimane
A0330	2019	136 	Tsushima	2019T	55.77	2.20	Shimane
A0331	2019	136 	Tsushima	2019T	39.68	0.75	Shimane
A0332	2019	136 	Tsushima	2019T	43.42	1.01	Shimane
A0333	2019	136 	Tsushima	2019T	55.00	2.11	Shimane
A0334	2019	136 	Tsushima	2019T	49.46	1.58	Shimane
A0335	2019	136 	Tsushima	2019T	34.56	0.49	Shimane
A0336	2019	136 	Tsushima	2019T	49.26	1.38	Shimane
A0337	2019	154 	Tsushima	2019T	20.21	0.11	Shimane
A0338	2019	154 	Tsushima	2019T	22.89	0.18	Shimane
A0339	2019	154 	Tsushima	2019T	20.67	0.15	Shimane
A0340	2019	NA	Kuroshio	2019K	124.90	27.15	Ehime
A0341	2019	NA	Kuroshio	2019K	118.30	24.16	Ehime
A0342	2019	NA	Kuroshio	2019K	116.00	19.53	Ehime
A0343	2019	NA	Kuroshio	2019K	127.36	27.11	Ehime
A0344	2019	NA	Kuroshio	2019K	120.85	22.67	Ehime
A0345	2019	NA	Kuroshio	2019K	119.39	23.81	Ehime
A0346	2019	NA	Kuroshio	2019K	117.05	20.76	Ehime
A0347	2019	NA	Kuroshio	2019K	113.22	20.27	Ehime
A0348	2019	NA	Kuroshio	2019K	121.05	24.34	Ehime
A0349	2019	NA	Kuroshio	2019K	107.71	18.60	Ehime
A0350	2019	NA	Kuroshio	2019K	127.29	31.93	Ehime
A0351	2019	NA	Kuroshio	2019K	120.13	22.71	Ehime
A0352	2019	NA	Kuroshio	2019K	121.70	25.17	Ehime
A0353	2019	NA	Kuroshio	2019K	113.36	20.37	Ehime
A0354	2019	NA	Kuroshio	2019K	111.46	20.59	Ehime
A0355	2019	NA	Kuroshio	2019K	114.89	22.38	Ehime
A0356	2019	NA	Kuroshio	2019K	116.34	21.23	Ehime
A0357	2019	NA	Kuroshio	2019K	113.87	20.32	Ehime
A0358	2019	NA	Kuroshio	2019K	124.91	26.36	Ehime
A0359	2019	NA	Kuroshio	2019K	137.82	36.83	Ehime
A0360	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0361	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0362	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0363	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0364	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0365	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0366	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0367	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0368	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0369	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0370	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0371	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0372	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0373	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0374	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0375	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0376	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0377	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0378	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0379	2019	198 	Kuroshio	2019K	NA	NA	Ibaraki
A0380	2019	239 	Kuroshio	2019K	127.23	28.34	Oita
A0381	2019	239 	Kuroshio	2019K	118.23	19.47	Oita
A0382	2019	239 	Kuroshio	2019K	115.65	18.73	Oita
A0383	2019	239 	Kuroshio	2019K	116.89	22.60	Oita
A0385	2019	239 	Kuroshio	2019K	120.57	24.34	Oita
A0386	2019	239 	Kuroshio	2019K	119.01	25.30	Oita
A0387	2019	239 	Kuroshio	2019K	131.75	31.58	Oita
A0388	2019	239 	Kuroshio	2019K	114.25	21.94	Oita
A0389	2019	239 	Kuroshio	2019K	105.93	15.78	Oita
A0390	2019	251 	Kuroshio	2019K	90.40	10.07	Oita
A0391	2019	251 	Kuroshio	2019K	105.18	14.43	Oita
A0392	2019	251 	Kuroshio	2019K	92.25	10.22	Oita
A0393	2019	251 	Kuroshio	2019K	81.95	6.37	Oita
A0394	2019	251 	Kuroshio	2019K	109.63	17.67	Oita
A0395	2019	251 	Kuroshio	2019K	118.32	20.78	Oita
A0396	2019	251 	Kuroshio	2019K	96.81	10.79	Oita
A0397	2019	251 	Kuroshio	2019K	91.72	9.49	Oita
A0398	2019	251 	Kuroshio	2019K	92.56	10.61	Oita
A0399	2019	251 	Kuroshio	2019K	112.87	17.35	Oita
A0400	2019	239 	Kuroshio	2019K	136.36	27.52	Kochi
A0401	2019	239 	Kuroshio	2019K	130.65	28.21	Kochi
A0402	2019	239 	Kuroshio	2019K	136.96	36.11	Kochi
A0403	2019	239 	Kuroshio	2019K	133.45	29.29	Kochi
A0404	2019	239 	Kuroshio	2019K	129.99	25.81	Kochi
A0405	2019	239 	Kuroshio	2019K	127.17	26.25	Kochi
A0406	2019	239 	Kuroshio	2019K	133.05	30.16	Kochi
A0407	2019	239 	Kuroshio	2019K	134.40	30.32	Kochi
A0408	2019	239 	Kuroshio	2019K	134.91	32.99	Kochi
A0409	2019	239 	Kuroshio	2019K	127.14	25.19	Kochi
A0410	2019	239 	Kuroshio	2019K	122.67	22.85	Kochi
A0411	2019	239 	Kuroshio	2019K	125.83	23.71	Kochi
A0412	2019	239 	Kuroshio	2019K	133.79	30.71	Kochi
A0413	2019	239 	Kuroshio	2019K	129.23	31.21	Kochi
A0414	2019	239 	Kuroshio	2019K	136.59	29.68	Kochi
A0415	2019	239 	Kuroshio	2019K	128.66	28.02	Kochi
A0416	2019	239 	Kuroshio	2019K	133.82	31.46	Kochi
A0417	2019	239 	Kuroshio	2019K	128.65	25.74	Kochi
A0418	2019	239 	Kuroshio	2019K	121.78	24.53	Kochi
A0419	2019	239 	Kuroshio	2019K	136.38	32.42	Kochi
A0420	2019	246 	Kuroshio	2019K	70.77	5.12	Toyama
A0421	2019	246 	Kuroshio	2019K	69.59	4.44	Toyama
A0422	2019	246 	Kuroshio	2019K	84.18	7.56	Toyama
A0423	2019	246 	Kuroshio	2019K	79.28	6.52	Toyama
A0424	2019	246 	Kuroshio	2019K	74.71	4.72	Toyama
A0425	2019	246 	Kuroshio	2019K	70.91	4.02	Toyama
A0426	2019	246 	Kuroshio	2019K	65.53	3.57	Toyama
A0427	2019	246 	Kuroshio	2019K	69.51	4.27	Toyama
A0428	2019	246 	Kuroshio	2019K	72.15	4.48	Toyama
A0429	2019	246 	Kuroshio	2019K	68.02	3.28	Toyama
A0430	2019	246 	Kuroshio	2019K	81.40	7.06	Toyama
A0431	2019	246 	Kuroshio	2019K	72.35	5.02	Toyama
A0432	2019	246 	Kuroshio	2019K	70.15	4.30	Toyama
A0433	2019	246 	Kuroshio	2019K	61.88	2.91	Toyama
A0434	2019	246 	Kuroshio	2019K	75.48	4.32	Toyama
A0435	2019	246 	Kuroshio	2019K	71.18	4.81	Toyama
A0436	2019	246 	Kuroshio	2019K	69.64	4.06	Toyama
A0437	2019	246 	Kuroshio	2019K	69.15	4.57	Toyama
A0438	2019	246 	Kuroshio	2019K	75.35	5.34	Toyama
A0439	2019	246 	Kuroshio	2019K	67.94	4.35	Toyama
A0440	2019	246 	Kuroshio	2019K	73.23	5.65	Toyama
A0441	2019	246 	Kuroshio	2019K	67.63	4.12	Toyama
A0442	2019	246 	Kuroshio	2019K	64.09	3.27	Toyama
A0443	2019	246 	Kuroshio	2019K	69.42	3.43	Toyama
A0444	2019	246 	Kuroshio	2019K	77.34	5.76	Toyama
A0445	2019	246 	Kuroshio	2019K	70.63	4.25	Toyama
A0446	2019	246 	Kuroshio	2019K	79.87	6.91	Toyama
A0447	2019	246 	Kuroshio	2019K	84.59	7.54	Toyama
A0448	2019	246 	Kuroshio	2019K	84.44	7.40	Toyama
A0449	2019	246 	Kuroshio	2019K	73.33	4.18	Toyama
A0450	2019	246 	Kuroshio	2019K	74.56	5.81	Toyama
A0451	2019	246 	Kuroshio	2019K	62.26	2.83	Toyama
A0452	2019	246 	Kuroshio	2019K	81.30	6.97	Toyama
A0453	2019	246 	Kuroshio	2019K	75.63	5.61	Toyama
A0454	2019	246 	Kuroshio	2019K	68.51	3.81	Toyama
A0455	2019	246 	Kuroshio	2019K	68.61	4.08	Toyama
A0456	2019	246 	Kuroshio	2019K	77.62	5.87	Toyama
A0457	2019	246 	Kuroshio	2019K	69.63	3.96	Toyama
A0458	2019	246 	Kuroshio	2019K	69.20	4.40	Toyama
A0460	2019	246 	Kuroshio	2019K	69.64	3.92	Toyama
A0461	2019	235 	Kuroshio	2019K	161.18	47.60	Miyagi
A0462	2019	235 	Kuroshio	2019K	155.28	48.01	Miyagi
A0463	2019	235 	Kuroshio	2019K	147.12	40.70	Miyagi
A0464	2019	235 	Kuroshio	2019K	162.27	55.60	Miyagi
A0465	2019	235 	Kuroshio	2019K	149.11	39.48	Miyagi
A0466	2019	254 	Tsushima	2019T	81.15	6.23	Akita
A0467	2019	254 	Tsushima	2019T	83.73	6.84	Akita
A0468	2019	269 	Kuroshio	2019K	57.15	2.08	Miyagi
A0469	2019	269 	Kuroshio	2019K	58.00	2.15	Miyagi
A0470	2019	269 	Kuroshio	2019K	85.92	8.40	Miyagi
A0471	2019	269 	Kuroshio	2019K	94.82	11.01	Miyagi
A0472	2019	269 	Kuroshio	2019K	95.87	11.10	Miyagi
A0473	2019	269 	Kuroshio	2019K	139.25	35.45	Miyagi
A0474	2019	269 	Kuroshio	2019K	121.29	24.23	Miyagi
A0475	2019	269 	Kuroshio	2019K	104.39	15.00	Miyagi
A0476	2019	269 	Kuroshio	2019K	102.99	14.68	Miyagi
A0477	2019	247 	Tsushima	2019T	82.54	6.64	Nagasaki
A0478	2019	244 	Tsushima	2019T	129.20	26.42	Nagasaki
A0479	2019	244 	Tsushima	2019T	138.03	31.46	Nagasaki
A0480	2019	165 	Tsushima	2019T	41.76	0.95	Yamaguchi
A0481	2019	244 	Tsushima	2019T	113.70	15.93	Nagasaki
A0482	2019	244 	Tsushima	2019T	117.64	17.80	Nagasaki
A0483	2019	244 	Tsushima	2019T	215.61	130.42	Nagasaki
A0484	2019	244 	Tsushima	2019T	204.82	112.58	Nagasaki
A0485	2019	244 	Tsushima	2019T	209.62	125.21	Nagasaki
A0486	2019	244 	Tsushima	2019T	201.73	111.38	Nagasaki
A0487	2019	244 	Tsushima	2019T	210.40	110.02	Nagasaki
A0488	2019	243 	Tsushima	2019T	184.12	83.50	Nagasaki
A0489	2019	243 	Tsushima	2019T	190.44	93.01	Nagasaki
A0490	2019	243 	Tsushima	2019T	184.92	89.03	Nagasaki
A0491	2019	243 	Tsushima	2019T	170.52	67.28	Nagasaki
A0492	2019	243 	Tsushima	2019T	186.95	88.57	Nagasaki
A0493	2019	243 	Tsushima	2019T	188.85	92.05	Nagasaki
A0494	2019	243 	Tsushima	2019T	187.05	91.08	Nagasaki
A0495	2019	243 	Tsushima	2019T	191.56	100.14	Nagasaki
A0496	2019	243 	Tsushima	2019T	183.02	87.25	Nagasaki
A0497	2019	243 	Tsushima	2019T	188.74	94.72	Nagasaki
A0499	2019	243 	Tsushima	2019T	82.95	6.30	Nagasaki
A0500	2019	243 	Tsushima	2019T	76.43	4.73	Nagasaki
A0501	2019	243 	Tsushima	2019T	69.76	3.91	Nagasaki
A0503	2019	243 	Tsushima	2019T	74.61	4.32	Nagasaki
A0504	2019	243 	Tsushima	2019T	75.46	5.00	Nagasaki
A0505	2019	243 	Tsushima	2019T	73.25	4.18	Nagasaki
A0506	2019	243 	Tsushima	2019T	75.99	5.27	Nagasaki
