Sample,Total_reads,Mapped_reads,Mapped_reads_rate,Properly_paired_mapped_reads,Properly_paired_mapped_reads_rate
A0001,3226171,3215251,99.66%,3125604,97.84%
A0002,3154845,3141928,99.59%,2992198,96.47%
A0003,3194013,3181053,99.59%,3033670,96.56%
