Sample,Total_reads,Mapped_reads,Mapped_reads_rate,Primary_mapped_reads,Primary_mapped_reads_rate,Properly_paired_mapped_reads,Properly_paired_mapped_reads_rate
A0442,4199831,4199831,100.00%,4172105,100.00%,4093641,98.12%
A0443,4651750,4651750,100.00%,4623298,100.00%,4543284,98.27%
A0444,4808804,4808804,100.00%,4777272,100.00%,4690559,98.18%
A0445,4834049,4834049,100.00%,4803327,100.00%,4716562,98.19%
A0446,4600472,4600472,100.00%,4570163,100.00%,4485592,98.15%
A0447,4708524,4708524,100.00%,4678407,100.00%,4592844,98.17%
A0448,4538668,4538668,100.00%,4508451,100.00%,4421384,98.07%
A0449,4882822,4882822,100.00%,4852846,100.00%,4769255,98.28%
A0450,4461316,4461316,100.00%,4432761,100.00%,4354724,98.24%
A0451,4649706,4649706,100.00%,4620254,100.00%,4542214,98.31%
A0452,4901988,4901988,100.00%,4871343,100.00%,4786520,98.26%
A0453,4742093,4742093,100.00%,4712851,100.00%,4629624,98.23%
A0454,4831336,4831336,100.00%,4801434,100.00%,4718061,98.26%
A0455,4727374,4727374,100.00%,4697103,100.00%,4613874,98.23%
A0456,4207792,4207792,100.00%,4179320,100.00%,4101112,98.13%
A0457,5020276,5020276,100.00%,4988421,100.00%,4902023,98.27%
A0458,4620381,4620381,100.00%,4590728,100.00%,4508688,98.21%
A0459,1337248,1337248,100.00%,1327348,100.00%,1289997,97.19%
A0460,4815492,4815492,100.00%,4785020,100.00%,4705131,98.33%
A0461,4859385,4859385,100.00%,4828183,100.00%,4743356,98.24%
A0462,4771368,4771368,100.00%,4741432,100.00%,4655688,98.19%
A0463,4997679,4997679,100.00%,4963943,100.00%,4875256,98.21%
A0464,4664887,4664887,100.00%,4635107,100.00%,4550786,98.18%
A0465,4470868,4470868,100.00%,4441483,100.00%,4358766,98.14%
A0466,4424992,4424992,100.00%,4397220,100.00%,4317300,98.18%
A0467,4413549,4413549,100.00%,4385570,100.00%,4306399,98.19%
A0468,4558124,4558124,100.00%,4526848,100.00%,4446223,98.22%
A0469,4480407,4480407,100.00%,4452085,100.00%,4368905,98.13%
A0470,4490948,4490948,100.00%,4461816,100.00%,4380304,98.17%
A0471,4347353,4347353,100.00%,4319347,100.00%,4239281,98.15%
A0472,3933694,3933694,100.00%,3906945,100.00%,3827443,97.97%
A0473,4696484,4696484,100.00%,4666760,100.00%,4583875,98.22%
A0474,4608470,4608470,100.00%,4577167,100.00%,4494862,98.20%
A0475,4667789,4667789,100.00%,4637677,100.00%,4559242,98.31%
A0476,4493670,4493670,100.00%,4464303,100.00%,4391201,98.36%
A0477,5001794,5001794,100.00%,4968237,100.00%,4891345,98.45%
A0478,4812595,4812595,100.00%,4781690,100.00%,4697776,98.25%
A0479,4682364,4682364,100.00%,4652423,100.00%,4567761,98.18%
A0480,4679559,4679559,100.00%,4648999,100.00%,4565157,98.20%
A0481,7600802,7600802,100.00%,7542259,100.00%,7390086,97.98%
A0482,4070173,4070173,100.00%,4044180,100.00%,3972022,98.22%
A0483,3415203,3415203,100.00%,3393616,100.00%,3333101,98.22%
A0484,3971738,3971738,100.00%,3945882,100.00%,3874651,98.19%
A0485,4141735,4141735,100.00%,4115764,100.00%,4039329,98.14%
A0486,3911452,3911452,100.00%,3887014,100.00%,3817077,98.20%
A0487,4018611,4018611,100.00%,3992481,100.00%,3922400,98.24%
A0488,4009118,4009118,100.00%,3983445,100.00%,3904176,98.01%
A0489,4602695,4602695,100.00%,4574415,100.00%,4496695,98.30%
A0490,4345027,4345027,100.00%,4318585,100.00%,4246995,98.34%
