file,num_seqs,sum_len
A0073_R1.fastq.gz,2822780,423417000
A0073_R2.fastq.gz,2822780,423417000
A0074_R1.fastq.gz,2667466,400119900
A0074_R2.fastq.gz,2667466,400119900
A0075_R1.fastq.gz,5093463,764019450
A0075_R2.fastq.gz,5093463,764019450
A0076_R1.fastq.gz,3807529,571129350
A0076_R2.fastq.gz,3807529,571129350
A0077_R1.fastq.gz,3633073,544960950
A0077_R2.fastq.gz,3633073,544960950
A0078_R1.fastq.gz,2973245,445986750
A0078_R2.fastq.gz,2973245,445986750
A0079_R1.fastq.gz,3245893,486883950
A0079_R2.fastq.gz,3245893,486883950
A0080_R1.fastq.gz,2571295,385694250
A0080_R2.fastq.gz,2571295,385694250
A0081_R1.fastq.gz,2969299,445394850
A0081_R2.fastq.gz,2969299,445394850
A0082_R1.fastq.gz,3204024,480603600
A0082_R2.fastq.gz,3204024,480603600
A0083_R1.fastq.gz,2779388,416908200
A0083_R2.fastq.gz,2779388,416908200
A0084_R1.fastq.gz,2918617,437792550
A0084_R2.fastq.gz,2918617,437792550
A0085_R1.fastq.gz,2593666,389049900
A0085_R2.fastq.gz,2593666,389049900
A0086_R1.fastq.gz,4413116,661967400
A0086_R2.fastq.gz,4413116,661967400
A0087_R1.fastq.gz,2777255,416588250
A0087_R2.fastq.gz,2777255,416588250
A0088_R1.fastq.gz,2849934,427490100
A0088_R2.fastq.gz,2849934,427490100
A0089_R1.fastq.gz,2711721,406758150
A0089_R2.fastq.gz,2711721,406758150
A0090_R1.fastq.gz,2606121,390918150
A0090_R2.fastq.gz,2606121,390918150
A0091_R1.fastq.gz,3760107,564016050
A0091_R2.fastq.gz,3760107,564016050
A0092_R1.fastq.gz,2688075,403211250
A0092_R2.fastq.gz,2688075,403211250
A0093_R1.fastq.gz,4617165,692574750
A0093_R2.fastq.gz,4617165,692574750
A0094_R1.fastq.gz,3284479,492671850
A0094_R2.fastq.gz,3284479,492671850
A0095_R1.fastq.gz,2601980,390297000
A0095_R2.fastq.gz,2601980,390297000
A0096_R1.fastq.gz,3269295,490394250
A0096_R2.fastq.gz,3269295,490394250
A0097_R1.fastq.gz,2738762,410814300
A0097_R2.fastq.gz,2738762,410814300
A0098_R1.fastq.gz,2664335,399650250
A0098_R2.fastq.gz,2664335,399650250
A0099_R1.fastq.gz,2488896,373334400
A0099_R2.fastq.gz,2488896,373334400
A0100_R1.fastq.gz,2543747,381562050
A0100_R2.fastq.gz,2543747,381562050
A0101_R1.fastq.gz,2655126,398268900
A0101_R2.fastq.gz,2655126,398268900
A0102_R1.fastq.gz,2524579,378686850
A0102_R2.fastq.gz,2524579,378686850
A0103_R1.fastq.gz,2524874,378731100
A0103_R2.fastq.gz,2524874,378731100
A0104_R1.fastq.gz,2576204,386430600
A0104_R2.fastq.gz,2576204,386430600
A0105_R1.fastq.gz,2892486,433872900
A0105_R2.fastq.gz,2892486,433872900
A0106_R1.fastq.gz,2656505,398475750
A0106_R2.fastq.gz,2656505,398475750
A0107_R1.fastq.gz,2494132,374119800
A0107_R2.fastq.gz,2494132,374119800
A0108_R1.fastq.gz,2517122,377568300
A0108_R2.fastq.gz,2517122,377568300
A0109_R1.fastq.gz,2637898,395684700
A0109_R2.fastq.gz,2637898,395684700
A0110_R1.fastq.gz,2460042,369006300
A0110_R2.fastq.gz,2460042,369006300
A0111_R1.fastq.gz,2504183,375627450
A0111_R2.fastq.gz,2504183,375627450
A0112_R1.fastq.gz,2490754,373613100
A0112_R2.fastq.gz,2490754,373613100
A0113_R1.fastq.gz,2937326,440598900
A0113_R2.fastq.gz,2937326,440598900
A0114_R1.fastq.gz,2726924,409038600
A0114_R2.fastq.gz,2726924,409038600
A0115_R1.fastq.gz,2504686,375702900
A0115_R2.fastq.gz,2504686,375702900
A0116_R1.fastq.gz,2516827,377524050
A0116_R2.fastq.gz,2516827,377524050
A0117_R1.fastq.gz,2624013,393601950
A0117_R2.fastq.gz,2624013,393601950
A0118_R1.fastq.gz,2455436,368315400
A0118_R2.fastq.gz,2455436,368315400
A0119_R1.fastq.gz,2512895,376934250
A0119_R2.fastq.gz,2512895,376934250
A0120_R1.fastq.gz,2561601,384240150
A0120_R2.fastq.gz,2561601,384240150
A0121_R1.fastq.gz,2955969,443395350
A0121_R2.fastq.gz,2955969,443395350
A0122_R1.fastq.gz,2768024,415203600
A0122_R2.fastq.gz,2768024,415203600
A0123_R1.fastq.gz,2583929,387589350
A0123_R2.fastq.gz,2583929,387589350
A0124_R1.fastq.gz,2575672,386350800
A0124_R2.fastq.gz,2575672,386350800
A0125_R1.fastq.gz,2724750,408712500
A0125_R2.fastq.gz,2724750,408712500
A0126_R1.fastq.gz,2563616,384542400
A0126_R2.fastq.gz,2563616,384542400
A0127_R1.fastq.gz,2636234,395435100
A0127_R2.fastq.gz,2636234,395435100
A0128_R1.fastq.gz,2381587,357238050
A0128_R2.fastq.gz,2381587,357238050
A0129_R1.fastq.gz,2933936,440090400
A0129_R2.fastq.gz,2933936,440090400
A0130_R1.fastq.gz,2540542,381081300
A0130_R2.fastq.gz,2540542,381081300
A0131_R1.fastq.gz,2340022,351003300
A0131_R2.fastq.gz,2340022,351003300
