ID	YearClass	SamplingDayNumber	Current	YearClassStock	FL	Weight	Prefecture	Age	BirthDay	BirthMonth	BirthMonth2019Start
A0634	2019	269	Kuroshio	K2019	117.87	22.52	Wakayama	136	133	5	5
A0635	2019	269	Kuroshio	K2019	110.81	19.98	Wakayama	126	143	5	5
A0636	2019	269	Kuroshio	K2019	116.87	21.36	Wakayama	134	135	5	5
A0637	2019	302	Kuroshio	K2019	120.2	22.46	Wakayama	139	163	6	6
A0638	2019	302	Kuroshio	K2019	135.96	31.17	Wakayama	162	140	5	5
A0639	2019	302	Kuroshio	K2019	125.3	26	Wakayama	146	156	6	6
A0640	2019	302	Kuroshio	K2019	127.78	27.83	Wakayama	150	152	6	6
A0641	2019	302	Kuroshio	K2019	128.28	27.18	Wakayama	150	152	6	6
A0642	2019	302	Kuroshio	K2019	126.44	26.49	Wakayama	148	154	6	6
A0643	2019	302	Kuroshio	K2019	116.91	20.03	Wakayama	134	168	6	6
A0644	2019	302	Kuroshio	K2019	128.19	28.15	Wakayama	150	152	6	6
A0645	2019	302	Kuroshio	K2019	125.25	24.81	Wakayama	146	156	6	6
A0646	2019	302	Kuroshio	K2019	127.78	25.78	Wakayama	150	152	6	6
