ID	YearClass	SamplingDayNumber	Current	YearClassStock	FL	Weight	Prefecture	Age	BirthDay	BirthMonth	BirthMonth2019Start
A0261	2019	136	Tsushima	T2019	20.56	0.12	Shimane	28	108	4	4
A0262	2019	136	Tsushima	T2019	36.93	0.61	Shimane	44	92	4	4
A0263	2019	136	Tsushima	T2019	48.07	1.56	Shimane	54	82	3	3
A0264	2019	136	Tsushima	T2019	45.64	1.11	Shimane	52	84	3	3
A0265	2019	136	Tsushima	T2019	42.88	0.96	Shimane	49	87	3	3
A0267	2019	136	Tsushima	T2019	44.71	1.08	Shimane	51	85	3	3
A0268	2019	136	Tsushima	T2019	46.1	1.3	Shimane	52	84	3	3
A0269	2019	136	Tsushima	T2019	48.78	1.27	Shimane	55	81	3	3
A0270	2019	136	Tsushima	T2019	50.42	1.46	Shimane	57	79	3	3
A0271	2019	136	Tsushima	T2019	39.08	0.71	Shimane	46	90	4	4
A0272	2019	136	Tsushima	T2019	42.39	0.83	Shimane	49	87	3	3
A0273	2019	136	Tsushima	T2019	41.89	0.87	Shimane	48	88	3	3
A0274	2019	136	Tsushima	T2019	44.04	1.12	Shimane	50	86	3	3
A0275	2019	136	Tsushima	T2019	40.4	0.83	Shimane	47	89	3	3
A0276	2019	136	Tsushima	T2019	45.84	1.04	Shimane	52	84	3	3
A0277	2019	136	Tsushima	T2019	47.32	1.23	Shimane	54	82	3	3
A0278	2019	134	Tsushima	T2019	33.65	0.44	Shimane	40	94	4	4
