Sample,Total_reads,Mapped_reads,Mapped_reads_rate,Primary_mapped_reads,Primary_mapped_reads_rate,Properly_paired_mapped_reads,Properly_paired_mapped_reads_rate
A0572,5417135,5376982,99.26%,5299979,99.25%,5169850,96.81%
A0573,5630688,5588156,99.24%,5506602,99.23%,5367676,96.73%
A0574,5005528,4968097,99.25%,4896995,99.24%,4776794,96.81%
A0575,5403703,5362405,99.24%,5285288,99.22%,5152796,96.74%
A0576,5530030,5489441,99.27%,5411115,99.26%,5276234,96.78%
A0577,10729858,10658761,99.34%,10510103,99.33%,10267992,97.04%
A0578,11780501,11708636,99.39%,11538573,99.38%,11250562,96.90%
A0579,9772379,9706083,99.32%,9561190,99.31%,9303078,96.63%
A0580,11678967,11608453,99.40%,11436608,99.39%,11148666,96.88%
A0581,11044977,10972365,99.34%,10819582,99.33%,10542676,96.79%
A0582,10959874,10886334,99.33%,10731582,99.32%,10454100,96.75%
A0583,11707337,11633454,99.37%,11460055,99.36%,11161690,96.77%
A0584,11200500,11131685,99.39%,10972429,99.38%,10690790,96.83%
A0585,10011490,9945933,99.35%,9806469,99.34%,9576478,97.01%
A0586,10678975,10616598,99.42%,10464511,99.41%,10185746,96.76%
A0587,10873364,10806331,99.38%,10653293,99.37%,10391708,96.93%
A0588,12590146,12515697,99.41%,12342901,99.40%,12052678,97.06%
A0589,11793072,11718948,99.37%,11559630,99.36%,11284790,97.00%
A0590,10064191,10004792,99.41%,9868145,99.40%,9637542,97.08%
A0591,12403166,12329684,99.41%,12156976,99.40%,11872720,97.08%
A0592,10570427,10512203,99.45%,10369116,99.44%,10123072,97.08%
A0593,11308082,11242901,99.42%,11080875,99.42%,10824984,97.12%
A0594,11714623,11647622,99.43%,11476699,99.42%,11186188,96.90%
A0595,10591437,10521093,99.34%,10361982,99.33%,10092154,96.74%
A0596,12970314,12891548,99.39%,12701092,99.38%,12391674,96.96%
A0597,12216859,12138672,99.36%,11963079,99.35%,11666166,96.88%
A0598,11103516,11038644,99.42%,10881294,99.41%,10626754,97.08%
A0599,12795707,12714009,99.36%,12527970,99.35%,12217722,96.89%
A0600,12179664,12103610,99.38%,11925978,99.37%,11629524,96.90%
A0601,10494196,10431391,99.40%,10279563,99.39%,10033014,97.01%
A0602,11531466,11463963,99.41%,11301081,99.41%,11012370,96.87%
A0603,10571246,10496858,99.30%,10345576,99.29%,10081200,96.75%
A0604,12128576,12049895,99.35%,11877391,99.34%,11592764,96.96%
A0605,11080686,11003292,99.30%,10838012,99.29%,10558778,96.73%
A0606,10900287,10820905,99.27%,10669262,99.26%,10397940,96.74%
A0607,11890452,11809793,99.32%,11640057,99.31%,11346102,96.80%
A0608,11001502,10909603,99.16%,10762919,99.15%,10494448,96.68%
A0609,10311563,10240427,99.31%,10092348,99.30%,9846874,96.88%
A0610,11031504,10960577,99.36%,10804993,99.35%,10520788,96.73%
A0611,10915874,10817118,99.10%,10661836,99.08%,10398372,96.63%
A0612,12731861,12620689,99.13%,12438554,99.11%,12139274,96.73%
A0613,11317735,11211438,99.06%,11048565,99.05%,10771624,96.56%
A0614,11383209,11276583,99.06%,11119764,99.05%,10837676,96.54%
A0615,12100534,11995622,99.13%,11832290,99.12%,11547728,96.74%
A0616,11434167,11335560,99.14%,11180293,99.13%,10917548,96.80%
A0617,11178318,11058115,98.92%,10911107,98.91%,10675656,96.78%
A0618,11298053,11127642,98.49%,10973465,98.47%,10700006,96.02%
A0619,10703312,10637251,99.38%,10479049,99.37%,10239050,97.10%
A0620,12573921,12502339,99.43%,12330872,99.42%,12067126,97.30%
A0621,11093858,11023839,99.37%,10870569,99.36%,10623472,97.10%
A0622,11244174,11171334,99.35%,11010332,99.34%,10750668,97.00%
A0623,11576194,11426118,98.70%,11260834,98.68%,10976002,96.19%
A0624,10915001,10462841,95.86%,10301734,95.80%,10026306,93.23%
A0625,10686760,10616799,99.35%,10470643,99.34%,10237802,97.13%
A0626,11485444,11421759,99.45%,11262785,99.44%,11007626,97.18%
A0627,11868596,11830749,99.68%,11669217,99.68%,11406424,97.43%
A0628,11240953,11211314,99.74%,11057495,99.73%,10800612,97.42%
A0629,10980714,10947170,99.69%,10790708,99.69%,10523140,97.22%
A0630,11007528,10972966,99.69%,10821714,99.68%,10569038,97.35%
A0631,10758258,10730220,99.74%,10580618,99.74%,10333714,97.41%
A0632,10497660,10472859,99.76%,10329477,99.76%,10088612,97.43%
A0633,10268430,10235763,99.68%,10086205,99.68%,9842802,97.27%
A0634,9971062,9934349,99.63%,9795393,99.63%,9565844,97.29%
A0635,14465659,14424940,99.72%,14228537,99.71%,13885914,97.31%
A0636,13787247,13755192,99.77%,13560689,99.76%,13251454,97.49%
A0637,14137689,14103517,99.76%,13899028,99.75%,13562222,97.34%
A0638,14073917,14028175,99.67%,13826540,99.67%,13473242,97.12%
A0639,13617963,13582953,99.74%,13396424,99.74%,13075196,97.35%
A0640,13623911,13573588,99.63%,13372267,99.63%,13048010,97.21%
A0641,12096588,12051447,99.63%,11882761,99.62%,11583374,97.11%
A0642,12255774,12208314,99.61%,12037426,99.61%,11725988,97.03%
A0643,12696433,12661613,99.73%,12488104,99.72%,12207470,97.48%
A0644,12624365,12594820,99.77%,12424663,99.76%,12158970,97.63%
A0645,12685946,12656474,99.77%,12485940,99.76%,12210928,97.57%
A0646,12685692,12650478,99.72%,12479406,99.72%,12191314,97.42%
